Verband,Name,Region,Plz,Adresse,Telefon,Fax,Web,E-Mail,Angebotsart,Sprache,Leistungskategorie,Google Maps URL,latitude,longitude
AWO Kreisverband Mitte e.V.,Rechtsberatung,Mitte,13347,Hochstädter Straße 1,030 455 087 0,,www.awo-mitte.de,info@awo-mitte.de,Rechtsberatung für Erwachsene,Deutsch,Beratung,,52.551829,13.365339
AWO Kreisverband Mitte e.V.,Telefonische Rechtsberatung,Mitte,13347,Hochstädter Straße 1,030 45 50 87 16,,https://awo-mitte.de/beratung/#rechtsberatung,info@awo-mitte.de,Rechtsberatung für Erwachsene,Deutsch,Beratung,,52.551829,13.365339
AWO Kreisverband Mitte e.V.,Schuldner- und Insolvenzberatung,Mitte,13357,Badstraße 33,030 49 30 140,,https://awo-mitte.de/beratung/#schuldner-insolvenzberatung,sib@awo-mitte.de,Schuldner- und Insolvenzberatung für Menschen mit sozialen Schwierigkeiten und Erwachsene,Deutsch,Beratung,,48.014437,16.930237
AWO Kreisverband Südost e.V.,"Nachbarschaftsmittler im ""Haus der Begegnung Fennpfuhl“",Lichtenberg,10369,Otto-Marquardt-Straße 6-8,030 30608212,030 30608222,,nachbarschaft-im-HH@awo-suedost.de,Unterstützung bei Problemen mit dem Vermieter oder in der Nachbarschaft,Deutsch,Beratung,,52.533004,13.471238
AWO Kreisverband Südwest e.V.,Mieter-/Renten- sowie kostenlose Erstrechtsberatung und Sozialberatung,Tempelhof-Schöneberg,10781,Goltzstraße 19,030 70 00 90 19,,https://www.awo-suedwest.de/beratung.html,,"Beratung für Erwachsene, Rechtsberatung für Erwachsene",Deutsch,Beratung,,52.383132,13.400111
AWO Landesverband Berlin e.V.,Erstrechtsberatung,Neukölln,12055,Wipperstraße 25,030 25 389 217,,www.awoberlin.de,info@awoberlin.de,Rechtsberatung für Erwachsene,Deutsch,Beratung,,52.470202,13.442974
AWO pro:mensch gGmbH,Ambulante Hilfe/Pflegekinderteam,Reinickendorf,13469,Avenue Charles de Gaulle 1d,030 41 10 78 00,030 41 46 516,https://www.awo-promensch.de/hilfen-zur-erziehung/pflegekinderhilfe/,pflegekinder@awo-promensch.de,"Beratung für Familien, Erziehungsberatung für Familien",Deutsch,"Beratung,Familie",,50.436049,4.762279
AWO Kreisverband Spree-Wuhle e.V.,Schuldner- und Insolvenzberatung,Friedrichshain-Kreuzberg,10969,Rudi-Dutschke-Str. 9,030 2529 3540,030 2529 3541,https://www.awo-spree-wuhle.de/schuldner-und-insolvenzberatung/,inso@awo-spree-wuhle.de,"Existenzsicherung, Haushaltsberatung, Schuldenregulierung",Deutsch,"Beratung,finanzielle Schwierigkeiten",,52.506873,13.395345
AWO Kreisverband Südost e.V.,Schuldner- und Insolvenzberatung Neukölln,Neukölln,12049,Mahlower Straße 23,030 319 872 00,030 319 872 030,https://www.awo-südost.de/schuldnerberatung,schuldnerberatung@awo-suedost.de,Schuldner- und Insolvenzberatung für Menschen mit sozialen Schwierigkeiten und Erwachsene,Deutsch,"Beratung,finanzielle Schwierigkeiten",,52.251825,13.445609
AWO Kreisverband Mitte e.V.,Rentenberatung,Mitte,13347,Hochstädter Straße 1,030 45 50 87 16,,https://awo-mitte.de/beratung/#rentenberatung,,Rentenberatung für Erwachsene,Deutsch,"Beratung,finanzielle Schwierigkeiten,Senior*innen",,52.551829,13.365339
AWO Kreisverband Mitte e.V.,Rentenberatung,Mitte,10555,Turmstraße 71,030 39 49 38 65,,https://awo-mitte.de/beratung/#rentenberatung,,Rentenberatung für Erwachsene,Deutsch,"Beratung,finanzielle Schwierigkeiten,Senior*innen",,48.274811,14.317008
AWO Kreisverband Südwest e.V.,Mieter-/Renten-/Soziale Beratung „Rund um die Pflegeversicherung“ sowie kostenlose Erstrechtsberatung,Steglitz-Zehlendorf,12207,Osdorfer Straße 121,030 713 870 90,,www.awo-suedwest.de,,"Beratung für Erwachsene, Rentenberatung für Erwachsene",Deutsch,"Beratung,finanzielle Schwierigkeiten,Senior*innen",,52.417791,13.314735
AWO Kreisverband Südwest e.V.,"Rentenberatung, kostenlose Erstrechtsberatung sowie Beratung zum Arbeitslosengeld II",Steglitz-Zehlendorf,14169,Mörchinger Straße 116,030 81294943,,https://www.awo-suedwest.de/beratung.html,,"Beratung für Erwachsene, Rechtsberatung für Erwachsene, Rentenberatung für Erwachsene",Deutsch,"Beratung,finanzielle Schwierigkeiten,Senior*innen",,52.437197,13.271952
AWO Kreisverband Mitte e.V.,AWO FrauenWohnen Berlin,Mitte,13359,Prinzenallee 25/26,030 45 79 80 60,,https://awo-mitte.de/frauen/,Frauenwohnen@awo-mitte.de,"Beratung für Frauen, Wohnstätte für Frauen, Wohnungslosenhilfe für Frauen",Deutsch,"Beratung,Frauen",,,
AWO Kreisverband Südost e.V.,Frauenberatung,Neukölln,12059,Sonnenallee 200,030 623 30 28,030 624 71 21,https://www.awo-südost.de/frauenberatung,Frauenberatung@awo-suedost.de,Beratung für Frauen,Deutsch,"Beratung,Frauen",,52.474995,13.453132
AWO Kreisverband Südost e.V.,"JuMP - Jugendcoaching/Medien, Motivation & Perspektive",Neukölln,12055,Lahnstraße 19,030 818 59 075,030 818 59 076,https://www.awo-südost.de/jugendberufshilfe-jump,jump@awo-suedost.de,"Jugendarbeit, Weiterbildung für Jugendliche, Jugendhilfe für Jugendliche",Deutsch,"Beratung,Jugend",,47.201444,15.650358
AWO Kreisverband Südost e.V.,Erziehungs - und Familienberatung,Neukölln,12053,Werbellinstraße 69,030 821 99 45,030 822 10 34,www.awo-suedost.de,familienberatung@awo-suedost.de,Beratung für Jugendliche und Familien,Deutsch,"Beratung,Jugend,Familie",,52.477658,13.428599
AWO Landesverband Berlin e.V.,Vormundschaften für ausländische Minderjährige,Tempelhof-Schöneberg,10827,Kärntener Straße 23,030 78 79 02 0,030 78 79 02 - 77,www.awoberlin.de,mail@awo-vormundschaften.de,Beratung für Jugendliche und Familien und Migrant*innen,Deutsch,"Beratung,Jugend,Migration,Familie",,52.478229,13.349141
AWO Kreisverband Spree-Wuhle e.V.,Stadtteiltreff Mahlsdorf-Süd,Marzahn-Hellersdorf,12623,Hultschiner Damm 98,030 56 69 83 95,030 56 69 83 9,https://www.awo-spree-wuhle.de/stadtteiltreff-mahlsdorf-sued/,hultschi@awo-spree-wuhle.de,"vielfältiges Angebot von sozialen und kulturellen Aktivitäten für alle Anwohner*innen und Interessierte in Mahlsdorf, sowie Marzahn-Hellersdorf",Deutsch,"Beratung,Kultur",,52.483697,13.602699
AWO Kreisverband Südost e.V.,AWO Familienzentrum KINUFA in Lichtenberg,Lichtenberg,10315,Charlottenstraße 3 a/b,030 848 561 28,030 512 215 4,https://www.awo-südost.de/kinder-familientreff,kinufa@awo-suedost.de,"Freizeitangebot für Kinder und Familien, Beratung für Familien",Deutsch,"Beratung,Kultur,Familie,Kinder",,,
AWO Kreisverband Spree-Wuhle e.V.,Stadtteiltreff Hellersdorf-Nord,Marzahn-Hellersdorf,12627,Kastanienallee 53,030 993 90 79,,https://www.awo-spree-wuhle.de/stadtteiltreff-hellersdorf-nord/,m-h@awo-spree-wuhle.de,Freizeitangebote für Senior*innen und Migrant*innen / Sozialberatung / Förderung von Selbsthilfeinitiativen,Deutsch,"Beratung,Kultur,Migration,Senior*innen,finanzielle Schwierigkeiten",,48.20219,16.540554
AWO Kreisverband Südost e.V.,„Sifahane“ – Beratung für Gesundheit und Migration,Neukölln,12055,Wipperstr. 25,030 671 28 914,,https://www.awo-südost.de/sifahane,sifahane@awo-berlin.de,Beratung für Migrant*innen,"Deutsch,Türkisch","Beratung,Migration",,52.470202,13.442974
AWO Landesverband Berlin e.V.,Fachstelle für Integration & Migration Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,10717,Trautenaustraße 5,030 88472161,,www.awoberlin.de,fim-cw@awoberlin.de,Beratung für Migrant*innen,"Deutsch,Englisch,Türkisch,Russisch,Spanisch,Arabisch,Französisch","Beratung,Migration",,52.493312,13.329723
AWO Landesverband Berlin e.V.,Fachstelle für Integration & Migration Neukölln,Neukölln,12043,Donaustraße 113,030 623 10 68,030 747 580 37,www.awoberlin.de,mbe.neukoelln@awoberlin.de,Beratung für Migrant*innen,"Deutsch,Englisch,Türkisch,Spanisch","Beratung,Migration",,48.099543,16.303644
AWO Landesverband Berlin e.V.,Fachstelle für Integration & Migration Pankow,Pankow,10405,Fröbelstr. 17,"030 90 295 -59 -26, -27, -28, -29",030 20928 - 239,www.awoberlin.de,fim-pankow@awoberlin.de,Beratung für Migrant*innen,"Deutsch,Englisch,Polnisch,Spanisch,Französisch,Italienisch","Beratung,Migration",,48.29058,14.315167
AWO Landesverband Berlin e.V.,Fachstelle für Integration & Migration Tempelhof-Schöneberg,Tempelhof-Schöneberg,10827,Willmanndamm 12,030 22 19 226 00,030 22 19 226 51,www.awoberlin.de,fim@awoberlin.de,Beratung für Migrant*innen,"Deutsch,Englisch,Russisch,Türkisch,Polnisch,Arabisch,Französisch","Beratung,Migration",,52.490636,13.362847
AWO Landesverband Berlin e.V.,Migrationsberatung im AWO Begegnungszentrum Kreuzberg,Friedrichshain-Kreuzberg,10997,Adalbertstr. 23 a,030 695 356 22,030 695 356 34,www.begegnungszentrum.org,begegnungszentrum@awo-spree-wuhle.de,Beratung für Migrant*innen,"Deutsch,Englisch,Französisch,Italienisch,Spanisch,Türkisch,Serbisch,Kroatisch,Bosnisch","Beratung,Migration",,50.988959,11.019597
AWO Landesverband Berlin e.V.,Zentrum für Migration und Integration,Mitte,13357,Stettiner Straße 12,030 666 439 0,030 666 439 -10,www.awoberlin.de,zmi@awoberlin.de,Beratung für Migrant*innen,"Deutsch,Türkisch,Englisch,Arabisch,Französisch,Spanisch","Beratung,Migration",,47.929395,12.929256
AWO Landesverband Berlin e.V.,Vormundschaften für ausländische Minderjährige,Friedrichshain-Kreuzberg,10961,Blücherstraße 62,030 253 890,030 253 89 340,www.awoberlin.de,mail@awo-vormundschaften.de,Beratung für Jugendliche und Familien und Migrant*innen,Deutsch,"Beratung,Migration,Familie,Jugend",,52.495174,13.398255
AWO Kreisverband Berlin-Nordwest e.V.,"Renten-, Rechts- u. allg. Sozialberatung",Pankow,13127,Arnouxstraße 10,030 47 55 91 68,030 91149585,www.awo-nordwest.de,awo-nordwest-arnouxstr@t-online.de,"Beratung für Erwachsene, Rechtsberatung für Erwachsene, Rentenberatung für Erwachsene",Deutsch,"Beratung,Senior*innen",,52.607057,13.425731
AWO Kreisverband Südost e.V.,Renten- und Sozialrechtsberatung,Neukölln,12053,Werbellinstraße 69,030 821 99 45,,https://www.awo-südost.de/sozialberatung,,"Beratung für Erwachsene, Rentenberatung für Erwachsene",Deutsch,"Beratung,Senior*innen,finanzielle Schwierigkeiten",,52.477658,13.428599
AWO Kreisverband Südost e.V.,AWO Exchange – Generationsübergreifender Freiwilligendienst,Neukölln,12043,Goldammerstraße 34,030 32528637,030 284 726 320,www.awo-südost.de/exchange,exchange@awoberlin.de,Freiwilligenagentur der AWO Südost e.V.,Deutsch,Engagement,,52.432309,13.468403
AWO Kreisverband Mitte e.V.,AWO Mitte Sozial- und Gesundheitsdienst gGmbH Familienpflege,Mitte,13347,Iranische Straße 5,030 832 19 30 10,,www.awo-familienpflege.de,info@awo-familienpflege.de,"Familienhilfe für Familien, Dienstleistungen für Familien",Deutsch,Familie,,52.554169,13.367579
AWO Kreisverband Südost e.V.,Familienzentrum Droryplatz,Neukölln,12055,Kannerstr. 12,030 56 82 37 76,030 56 82 38 65,https://www.awo-südost.de/familienzentrum-in-neukoelln,faz-droryplatz@awo-suedost.de,Familienzentrum,Deutsch,Familie,,52.471669,13.447426
AWO Kreisverband Südost e.V.,"Familienzentrum im ""Haus der Begegnung Fennpfuhl“",Lichtenberg,10369,Otto-Marquardt-Str. 6-8,030 30 60 82 21,030 30 60 82 22,https://www.awo-südost.de/familienzentrum-fennpfuhl,familienzentrum@awo-suedost.de,Familienzentrum,Deutsch,Familie,,52.533004,13.471238
AWO Kreisverband Südost e.V.,"Stadtteilmütter im ""Haus der Begegnung Fennpfuhl“",Lichtenberg,10369,Otto-Marquardt-Str. 6-8,030 30608199,030 30608201,https://www.awo-südost.de/stadtteilmuetter,koordinierung-stm@awo-suedost.de,Stadtteilmütter,Deutsch,Familie,,52.533004,13.471238
AWO Kreisverband Südost e.V.,Projekt Elternbegleitung,verschiedene Standorte,10369,Otto-Marquardt-Str. 6-8,030 30608212,030 3060822,https://www.awo-südost.de/elternbegleitung,ebg@awo-suedost.de,Unterstützungsangebote für Eltern,Deutsch,Familie,,52.533004,13.471238
AWO Kreisverband Südwest e.V.,Projekt „Wundertüte“,Steglitz-Zehlendorf,,,030 851 76 13,,https://www.awo-suedwest.de/wundertuete.html,,"Schulsozialarbeit für Familien, Familienhilfe für Familien",Deutsch,Familie,,,
AWO Kreisverband Südost e.V.,"AWO ""Margaretentreff"" Begegnungsstätte für alle Generationen",Lichtenberg,10315,Zachertstraße 52,030 526 950 31,,https://www.awo-südost.de/begegnungsstaetten,,Begegnungsstätte für alle Generationen,Deutsch,"Familie,Senior*innen",,52.505706,13.507914
